1	9.8889
2	8.9444
3	9.4444
4	10.3889
5	10.8333
6	11.1667
7	11.3333
8	11.8333
9	12.5556
10	12.3889
11	13
12	13.2778
13	13.3889
14	13.7778
15	13.7778
16	13.7778
17	14.1667
18	14.4444
19	14.5556
20	14.6111
21	13.2778


1	19.3889
2	18.4444
3	19.2778
4	19.6667
5	20.0556
6	21.1111
7	21.3333
8	21.3889
9	21.6111
10	22.3889
11	23
12	23.2222
13	23.6111
14	23.8889
15	24.5
16	25
17	24.8333
18	25.2778
19	25.5
20	25.8889
21	27.8333


1	40.2222
2	37.2778
3	39.2778
4	39.8333
5	41.6111
6	43.5
7	43.2778
8	44.5556
9	45.1667
10	46
11	47.6111
12	47.5
13	47.2778
14	47.3889
15	48.9444
16	49.1667
17	49.6667
18	50.5556
19	50.5556
20	51.4444
21	60.5556


1	114.3889
2	103.7778
3	107.3889
4	110.3889
5	111.2778
6	113.5
7	115.7778
8	117.7222
9	119.5
10	120.5
11	123.7222
12	124
13	124.8889
14	125.6667
15	128
16	130.6667
17	131.4444
18	132.5556
19	133.8333
20	134.8333
21	167.5


1	312.5556
2	270
3	280.7222
4	283.7222
5	289.9444
6	293.2222
7	298.0556
8	304.5
9	307.2222
10	310.3889
11	314.5556
12	319
13	319.2778
14	325.6667
15	327.8333
16	330.5
17	334.6667
18	338.3889
19	339.7222
20	343.3889
21	450.8889


