550.125	543.389	548.786	546.947	542.542	539.569	533.868	535.462	534.057	
522.959	504.741	492.102	480.758	471.812	463.142	457.506	451.792	447.989	
450.793	443.571	436.76	430.601	425.149	420.403	416.069	412.512	408.735	
410.59	407.927	404.262	400.828	397.252	394.183	391.834	389.129	386.668	
389.834	388.519	386.041	383.706	381.723	379.612	377.638	375.721	374.339	
375.904	375.158	373.843	372.18	371.102	369.61	368.512	367.419	366.10	
367.657	367.115	366.127	365.061	363.58	362.356	361.37	360.343	359.428	
360.549	360.245	359.328	358.338	357.361	356.647	356.092	355.246	354.584	
355.86	355.848	355.154	354.493	353.707	352.932	352.527	352.001	351.402	
353.142	352.878	352.26	351.591	350.892	350.176	349.572	349.102	348.578	


