433.50	443.056	446.179	448.737	448.604	447.879	443.971	440.372	440.068	
436.663	429.398	420.941	414.523	414.246	416.777	419.253	422.327	425.742	
437.176	434.424	430.043	425.353	422.289	418.109	414.972	415.756	412.369	
414.932	415.635	416.295	416.455	414.34	413.018	411.124	409.238	408.93	
411.323	410.706	411.50	411.59	412.299	412.672	412.886	411.388	410.556	
411.607	413.429	414.736	414.348	417.004	418.063	418.216	418.492	417.24	
419.391	420.33	421.456	423.339	423.328	423.483	422.599	422.676	424.755	
425.755	426.856	425.746	425.858	425.735	424.57	423.308	422.243	422.251	
425.22	427.233	427.332	428.013	428.007	426.492	427.107	427.149	427.549	
428.209	428.586	428.027	427.603	426.378	426.286	425.869	425.858	425.20	
