1620000	0.0646	0.0548	0.0340
1630000	0.0370	0.0328	0.0335
1640000	0.0347	0.0300	0.0330
1650000	0.0637	0.0646	0.0325
1660000	0.0328	0.0267	0.0320
1670000	0.0300	0.0276	0.0316
1680000	0.0436	0.0445	0.0311
1690000	0.0351	0.0253	0.0306
1700000	0.0300	0.0319	0.0302
1710000	0.0496	0.0609	0.0298
1720000	0.0290	0.0337	0.0293
1730000	0.0300	0.0300	0.0289
1740000	0.0347	0.0290	0.0285
1750000	0.0244	0.0244	0.0281
1760000	0.0567	0.0511	0.0277
1770000	0.0407	0.0375	0.0273
1780000	0.0262	0.0206	0.0269
1790000	0.0258	0.0230	0.0266
1800000	0.0534	0.0440	0.0262
1810000	0.0201	0.0272	0.0258
1820000	0.0220	0.0295	0.0255
1830000	0.0309	0.0342	0.0251
1840000	0.0272	0.0304	0.0248
1850000	0.0215	0.0169	0.0245
1860000	0.0539	0.0300	0.0241
1870000	0.0482	0.0482	0.0238
1880000	0.0211	0.0281	0.0235
1890000	0.0525	0.0473	0.0232
1900000	0.0220	0.0192	0.0229
1910000	0.0267	0.0281	0.0226
1920000	0.0300	0.0290	0.0223
1930000	0.0253	0.0230	0.0220
1940000	0.0206	0.0178	0.0217
1950000	0.0248	0.0239	0.0214
1960000	0.0225	0.0211	0.0211
1970000	0.0206	0.0192	0.0209
1980000	0.0398	0.0464	0.0206
1990000	0.0183	0.0230	0.0203
