n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
286	143	115	125	331	
287	144	119	129	334	
288	151	117	126	336	
289	145	119	126	340	
290	145	119	128	343	
291	145	119	127	345	
292	148	122	128	347	
293	146	120	128	349	
294	145	119	131	358	
295	158	122	133	352	
296	137	120	129	356	
297	153	123	135	361	
298	179	121	131	364	
299	149	122	140	367	
300	150	122	131	365	
301	148	122	132	374	
302	149	125	137	375	
303	155	123	131	372	
304	150	128	139	376	
305	156	124	135	377	
306	145	124	134	382	
307	160	129	135	381	
308	175	126	136	382	
309	176	130	136	385	
310	146	129	136	394	
311	154	131	138	393	
312	147	130	137	391	
313	153	132	137	404	
314	162	130	138	400	
315	152	130	138	397	
316	149	132	141	399	
317	150	129	142	402	
318	147	130	141	410	
319	156	131	141	408	
320	145	132	140	411	
321	152	132	143	418	
322	148	132	141	415	
323	149	133	143	424	
324	154	133	142	420	
325	152	135	142	425	
326	160	138	148	427	
327	159	136	146	432	
328	154	141	147	431	
329	153	135	147	435	
330	152	136	145	438	
331	158	136	146	439	
332	151	137	146	442	
333	160	137	147	453	
334	150	137	148	446	
335	155	141	157	445	
336	158	139	147	452	
337	156	141	148	455	
338	159	139	153	455	
339	154	141	149	456	
340	162	143	151	462	
341	158	141	152	462	
342	165	143	161	475	
343	163	143	153	476	
344	155	142	157	479	
345	158	153	152	472	
346	157	143	153	476	
347	168	144	153	477	
348	160	144	153	481	
349	162	145	158	486	
350	163	145	155	485	
351	160	145	156	501	
352	168	146	156	491	
353	160	146	156	494	
354	172	155	162	501	
355	160	146	157	499	
356	159	148	158	514	
357	172	150	159	510	
358	171	193	160	519	
359	173	158	160	516	
360	161	150	160	513	
361	170	151	164	518	
362	166	150	161	520	
363	167	152	160	529	
364	166	154	161	525	
365	165	153	161	533	
366	160	153	162	527	
367	168	153	162	531	
368	173	158	163	535	
369	168	154	163	538	
370	169	154	165	541	
371	166	154	166	543	
372	168	157	171	566	
373	177	159	166	550	
374	170	156	166	559	
375	177	157	168	551	
376	165	157	168	557	
377	180	161	168	559	
378	175	158	167	571	
379	169	159	170	568	
380	177	161	169	569	
381	171	159	171	570	
382	180	162	171	574	
383	174	162	169	574	
384	166	163	178	580	
385	171	161	172	584	
386	172	165	174	584	
387	175	166	175	592	
388	179	166	176	596	
389	176	166	173	595	
390	177	164	177	606	
391	168	165	176	599	
392	175	165	178	609	
393	177	165	179	609	
394	176	165	176	611	
395	181	169	178	613	
396	174	167	178	614	
397	178	169	181	618	
398	181	170	177	620	
399	181	167	176	630	
400	182	169	180	633	
401	182	171	178	631	
402	181	170	187	635	
403	182	170	179	639	
404	191	174	180	642	
405	183	174	182	639	
406	178	170	186	648	
407	176	172	181	649	
408	176	175	182	659	
409	191	173	183	650	
410	184	173	184	656	
411	183	176	185	670	
412	180	174	185	662	
413	181	176	187	666	
414	179	176	186	669	
415	187	178	187	682	
416	192	175	191	675	
417	181	179	189	689	
418	196	185	189	683	
419	187	177	188	688	
420	193	177	190	691	
421	183	178	188	695	
422	187	184	192	698	
423	186	178	190	695	
424	187	180	193	702	
425	192	180	192	703	
426	186	181	192	715	
427	190	183	191	713	
428	187	182	192	712	
429	196	187	192	715	
430	191	182	197	731	
431	193	187	198	729	
432	185	183	196	727	
433	186	186	196	739	
434	199	190	195	731	
435	192	185	197	734	
436	196	187	196	736	
437	186	185	196	738	
438	186	190	200	742	
439	198	186	196	748	
440	195	189	199	750	
441	197	190	200	755	
442	194	188	201	766	
443	195	190	199	759	
444	194	190	200	769	
445	202	191	219	769	
446	201	193	204	783	
447	198	191	202	771	
448	194	194	203	779	
449	200	193	203	782	
450	195	193	203	780	
451	192	196	205	791	
452	194	194	203	788	
453	195	196	206	797	
454	205	194	205	798	
455	198	194	206	798	
456	202	199	206	803	
457	203	196	208	808	
458	203	199	208	808	
459	201	197	209	816	
460	202	204	217	828	
461	204	200	210	820	
462	210	199	212	838	
463	218	198	208	831	
464	200	200	216	829	
465	240	199	210	833	
466	231	199	212	845	
467	200	203	213	841	
468	203	200	211	861	
469	205	204	214	850	
470	199	202	214	855	
471	213	207	214	854	
472	194	201	214	859	
473	206	204	214	864	
474	208	204	215	872	
475	210	206	217	881	
476	205	204	217	879	
477	200	210	217	879	
478	206	205	217	880	
479	205	206	220	893	
480	207	206	220	891	
481	201	207	218	898	
482	205	207	218	895	
483	209	208	218	899	
484	217	210	219	907	
485	209	207	219	908	
486	205	210	222	915	
487	208	210	219	913	
488	211	212	227	935	
489	207	214	224	928	
490	212	211	226	927	
491	207	211	226	927	
492	206	212	224	943	
493	212	215	222	934	
494	206	214	224	945	
495	219	214	227	942	
496	205	214	226	943	
497	204	216	225	1000	
498	211	215	226	1000	
499	210	217	230	1000	
500	216	215	227	1000	
501	211	217	229	1000	
502	214	219	228	1000	
503	220	224	235	1000	
504	219	218	229	1000	
505	208	217	230	1000	
506	209	222	232	1000	
507	211	227	232	1000	
508	220	222	231	1000	
509	217	220	233	1000	
510	227	222	234	1000	
511	209	220	232	1000	
512	215	224	233	1000	
