n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
1	0	0	0	0.001	
2	0	0	0.001	0.001	
4	0.001	0.001	0	0.004	
8	0.001	0.002	0.001	0.004	
16	0.002	0.004	0.004	0.006	
32	0.004	0.008	0.006	0.007	
64	0.009	0.016	0.014	0.01	
128	0.019	0.034	0.027	0.015	
256	0.039	0.067	0.051	0.022	
512	0.082	0.138	0.111	0.042	
1024	0.171	0.274	0.232	0.079	
2048	0.374	0.539	0.475	0.147	
4096	0.805	1.1	1	0.29	
8192	1.7	2.4	2.1	0.569	
16384	3.5	4.6	4.3	1.1	
