n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
286	142	115	127	332	
287	141	117	125	335	
288	141	117	126	336	
289	142	117	126	340	
290	143	118	134	341	
291	144	118	129	342	
292	145	119	127	347	
293	145	119	127	348	
294	143	119	129	350	
295	146	121	129	352	
296	146	120	129	354	
297	146	124	131	358	
298	145	121	131	359	
299	147	122	131	362	
300	148	123	131	364	
301	149	122	132	367	
302	145	125	132	370	
303	151	123	132	373	
304	149	124	132	372	
305	152	124	133	375	
306	145	125	136	378	
307	158	124	135	380	
308	172	125	136	381	
309	179	127	135	384	
310	146	128	135	386	
311	147	127	135	390	
312	162	128	138	391	
313	151	128	137	393	
314	156	130	138	396	
315	151	129	139	398	
316	150	129	143	400	
317	150	128	140	402	
318	154	131	140	405	
319	152	131	141	407	
320	150	131	139	409	
321	150	131	140	412	
322	149	131	141	415	
323	154	132	144	416	
324	157	132	142	420	
325	152	133	142	422	
326	153	134	143	427	
327	153	136	146	428	
328	153	135	145	429	
329	153	135	145	432	
330	157	135	144	434	
331	161	136	147	437	
332	155	136	146	439	
333	158	136	145	444	
334	158	137	148	444	
335	156	138	146	449	
336	156	138	150	449	
337	157	140	148	451	
338	155	139	148	455	
339	156	140	149	458	
340	159	140	150	458	
341	157	141	152	463	
342	158	141	151	463	
343	159	141	151	466	
344	158	143	151	471	
345	158	142	151	471	
346	159	143	152	475	
347	161	143	152	478	
348	162	143	153	478	
349	160	146	155	483	
350	162	144	155	485	
351	161	145	155	486	
352	159	145	156	493	
353	160	146	155	492	
354	162	146	155	497	
355	162	146	156	497	
356	163	149	158	502	
357	163	149	157	504	
358	165	149	158	508	
359	163	149	160	509	
360	163	149	159	511	
361	163	150	161	517	
362	165	150	161	517	
363	164	151	160	521	
364	165	151	161	524	
365	165	152	161	525	
366	167	153	161	529	
367	167	153	162	531	
368	165	153	163	534	
369	166	153	163	539	
370	167	154	163	539	
371	167	155	165	542	
372	169	155	165	544	
373	169	155	166	545	
374	169	156	166	548	
375	168	156	167	559	
376	167	156	168	557	
377	168	157	167	559	
378	171	158	167	565	
379	165	159	168	564	
380	170	160	169	569	
381	170	158	171	569	
382	173	159	171	572	
383	172	161	169	574	
384	167	160	171	578	
385	168	161	171	582	
386	172	160	171	584	
387	168	161	172	587	
388	173	163	172	588	
389	174	163	172	593	
390	174	163	173	595	
391	174	163	176	600	
392	174	165	177	603	
393	176	165	175	606	
394	178	164	175	610	
395	175	166	176	615	
396	176	166	177	618	
397	178	167	176	618	
398	178	166	177	622	
399	179	167	177	624	
400	177	169	178	625	
401	179	170	178	630	
402	180	168	179	633	
403	177	169	178	635	
404	180	171	183	640	
405	181	169	182	640	
406	180	170	182	642	
407	182	171	181	646	
408	179	172	183	650	
409	181	172	182	651	
410	182	173	183	658	
411	179	172	184	657	
